id,comentario,sentimiento,fecha,fuente
279,Los ingredientes son de temporada según el chef. Es un dato a considerar.,NEU,2024-09-11,Encuesta Interna
280,Los precios están en el promedio de la zona. Sin más comentarios.,NEU,2024-02-16,Encuesta Interna
281,Los precios están en el promedio de la zona. Sin más comentarios.,NEU,2024-09-20,Google Reviews
282,"El ambiente era muy ruidoso, no podíamos conversar.",NEG,2024-05-07,Google Reviews
283,Las porciones son muy pequeñas para el precio que cobran. Esperaba mucho más.,NEG,2024-05-04,Facebook
284,Las instalaciones son viejas y descuidadas. Esperaba mucho más.,NEG,2024-08-17,Google Reviews
285,Hay que mencionar que los ingredientes son de temporada según el chef.,NEU,2024-04-26,Encuesta Interna
286,"Excelente experiencia. El ambiente es muy agradable, ideal para una cena familiar.",POS,2024-08-10,Google Reviews
287,Visita obligada. Me sorprendió gratamente la calidad de la comida.,POS,2024-04-22,Encuesta Interna
288,El local tiene capacidad para unas 50 personas aproximadamente. Sin más comentarios.,NEU,2024-10-19,Facebook
289,"El estacionamiento es limitado, mejor llegar en transporte. Sin más comentarios.",NEU,2024-09-26,Google Reviews
290,"Solo menciono que tienen menú del día con opciones de sopa, guisado y postre.",NEU,2024-05-08,Encuesta Interna
291,El local tiene capacidad para unas 50 personas aproximadamente.,NEU,2024-11-21,Facebook
292,Solo menciono que el local lleva más de 15 años en la misma ubicación.,NEU,2024-05-02,Encuesta Interna
293,"Mal servicio. Muy mala experiencia, no lo recomiendo para nada.",NEG,2024-08-06,Encuesta Interna
294,La cocina está abierta y se puede ver la preparación.,NEU,2024-11-06,Encuesta Interna
295,"Muy decepcionante. La sopa llegó completamente fría, tuvieron que recalentarla.",NEG,2024-07-13,Facebook
296,Hermoso lugar con una vista preciosa al jardín.,POS,2024-03-25,Facebook
297,"La carne sabía a recalentado, no estaba fresca. No regresaré.",NEG,2024-12-27,Google Reviews
298,Hay que mencionar que el menú está disponible en versión digital con qr.,NEU,2024-05-04,Google Reviews
299,Mal servicio. El precio es muy elevado para la calidad que ofrecen.,NEG,2024-10-02,Facebook
300,El precio es muy elevado para la calidad que ofrecen.,NEG,2024-08-28,Google Reviews
301,Ofrecen servicio a domicilio a través de aplicaciones. Es un dato a considerar.,NEU,2024-02-26,Encuesta Interna
302,Solo menciono que la carta incluye opciones vegetarianas aunque son pocas.,NEU,2024-03-16,Google Reviews
303,Hay que mencionar que tienen área de juegos para niños pequeños.,NEU,2024-11-28,Facebook
304,Visita obligada. Las enchiladas verdes son las mejores que he probado en Zapopan.,POS,2024-05-30,Encuesta Interna
305,"Excelente experiencia. El lugar tiene un encanto especial, muy acogedor.",POS,2024-02-25,Google Reviews
306,El mole negro tiene un sabor auténtico y profundo.,POS,2024-03-19,Encuesta Interna
307,No respetaron la reservación que hicimos con anticipación. No regresaré.,NEG,2024-02-22,Encuesta Interna
308,La política es de no permitir alimentos externos. Sin más comentarios.,NEU,2024-03-03,Google Reviews
309,"La torta ahogada es auténtica, como las de antes. Definitivamente lo recomiendo.",POS,2024-10-01,Facebook
310,"La música de fondo era folclórica, acorde con la temática. Sin más comentarios.",NEU,2024-05-15,Facebook
311,Visita obligada. Hermoso lugar con una vista preciosa al jardín.,POS,2024-02-14,Encuesta Interna
312,"El estacionamiento es limitado, mejor llegar en transporte. Es un dato a considerar.",NEU,2024-08-24,Encuesta Interna
313,Solo menciono que el menú está disponible en versión digital con qr.,NEU,2024-04-15,Google Reviews
314,"Mal servicio. Encontré un cabello en mi plato, muy desagradable.",NEG,2024-04-09,Encuesta Interna
315,"Visita obligada. Superó nuestras expectativas, muy recomendable.",POS,2024-12-17,Encuesta Interna
316,Visita obligada. Las flautas de pollo crujientes y muy sabrosas.,POS,2024-01-21,Encuesta Interna
317,Visita obligada. La atención fue excepcional desde que llegamos.,POS,2024-03-04,Facebook
318,Visita obligada. Lugar perfecto para reuniones de trabajo o cenas románticas.,POS,2024-02-29,Facebook
319,"Solo menciono que el estacionamiento es limitado, mejor llegar en transporte.",NEU,2024-10-29,Facebook
320,Excelente experiencia. Lugar perfecto para reuniones de trabajo o cenas románticas.,POS,2024-01-23,Encuesta Interna
321,El menú tiene variedad de opciones tradicionales mexicanas. Es un dato a considerar.,NEU,2024-09-22,Facebook
322,"El estacionamiento es limitado, mejor llegar en transporte. Sin más comentarios.",NEU,2024-12-01,Google Reviews
323,Hay que mencionar que aceptan pagos con tarjeta y en efectivo.,NEU,2024-11-16,Encuesta Interna
324,Tienen área de juegos para niños pequeños. Sin más comentarios.,NEU,2024-05-31,Encuesta Interna
325,Los tacos llegaron fríos y el tortilla estaba reseca.,NEG,2024-09-10,Facebook
326,Las enchiladas verdes son las mejores que he probado en Zapopan. Definitivamente lo recomiendo.,POS,2024-10-06,Google Reviews
327,Tienen sección de bar con bebidas típicas mexicanas.,NEU,2024-08-24,Google Reviews
328,Los tacos de barbacoa son de los mejores de la ciudad.,POS,2024-06-02,Encuesta Interna
329,La recepcionista confirma reservaciones por WhatsApp.,NEU,2024-08-31,Facebook
330,"Encontré un cabello en mi plato, muy desagradable. No regresaré.",NEG,2024-08-24,Google Reviews
331,"La música de fondo era folclórica, acorde con la temática. Sin más comentarios.",NEU,2024-01-08,Facebook
332,"Nunca más regreso, la experiencia fue terrible.",NEG,2024-06-29,Facebook
333,"Visita obligada. Superó nuestras expectativas, muy recomendable.",POS,2024-12-19,Google Reviews
334,Visita obligada. Pedimos varios platillos y todos llegaron calientes y bien presentados.,POS,2024-01-05,Google Reviews
335,Mal servicio. El mesero fue muy grosero con nosotros desde el inicio.,NEG,2024-11-18,Encuesta Interna
336,"El chile en nogada estaba increíble, muy bien preparado. El lugar merece 5 estrellas.",POS,2024-04-19,Facebook
337,Excelente experiencia. Me sorprendió gratamente la calidad de la comida.,POS,2024-04-14,Encuesta Interna
338,"La sopa llegó completamente fría, tuvieron que recalentarla. No regresaré.",NEG,2024-05-27,Encuesta Interna
339,Solo menciono que el chef lleva 10 años preparando cocina tradicional jalisciense.,NEU,2024-12-27,Facebook
340,"Visita obligada. El chile en nogada estaba increíble, muy bien preparado.",POS,2024-03-25,Facebook
341,El aire acondicionado no funcionaba y hacía mucho calor. Esperaba mucho más.,NEG,2024-08-02,Encuesta Interna
342,"La carne sabía a recalentado, no estaba fresca. Esperaba mucho más.",NEG,2024-09-10,Facebook
343,Solo menciono que el local tiene capacidad para unas 50 personas aproximadamente.,NEU,2024-07-15,Google Reviews
344,El lugar está muy limpio y bien decorado. El lugar merece 5 estrellas.,POS,2024-10-07,Google Reviews
345,"Me encantó la sopa de lima, muy sabrosa.",POS,2024-04-27,Google Reviews
346,Los tacos llegaron fríos y el tortilla estaba reseca. No regresaré.,NEG,2024-02-14,Facebook
347,Los precios están en el promedio de la zona. Sin más comentarios.,NEU,2024-11-11,Facebook
348,Mal servicio. Nos cobraron platillos que no consumimos.,NEG,2024-11-04,Google Reviews
349,Los tacos llegaron fríos y el tortilla estaba reseca.,NEG,2024-08-03,Facebook
350,"Muy buen servicio, nos atendieron con mucha amabilidad. Definitivamente lo recomiendo.",POS,2024-02-04,Google Reviews
351,Hay que mencionar que el menú está disponible en versión digital con qr.,NEU,2024-04-22,Encuesta Interna
352,El precio es muy elevado para la calidad que ofrecen. No regresaré.,NEG,2024-11-22,Facebook
353,Hay que mencionar que el restaurante participa en el programa de jalisco gastronómico.,NEU,2024-02-28,Facebook
354,Los postres se elaboran en el mismo restaurante.,NEU,2024-04-14,Facebook
355,Los postres se elaboran en el mismo restaurante. Sin más comentarios.,NEU,2024-06-23,Encuesta Interna
356,"Buenísimo el agua de jamaica, muy fresca y natural. El lugar merece 5 estrellas.",POS,2024-03-14,Facebook
357,Solo menciono que los ingredientes son de temporada según el chef.,NEU,2024-08-24,Facebook
358,"Visita obligada. Superó nuestras expectativas, muy recomendable.",POS,2024-10-22,Facebook
359,"No había agua en los baños, muy mala higiene. Esperaba mucho más.",NEG,2024-06-16,Facebook
360,Excelente experiencia. Hermoso lugar con una vista preciosa al jardín.,POS,2024-05-02,Google Reviews
361,Muy decepcionante. El servicio es lento y desorganizado.,NEG,2024-06-23,Facebook
362,"Superó nuestras expectativas, muy recomendable.",POS,2024-11-02,Facebook
363,"Todo estuvo perfecto, volveremos pronto. Definitivamente lo recomiendo.",POS,2024-09-16,Google Reviews
364,"Todo estuvo perfecto, volveremos pronto. Definitivamente lo recomiendo.",POS,2024-10-03,Encuesta Interna
365,Sin duda el mejor restaurante mexicano de la zona. El lugar merece 5 estrellas.,POS,2024-02-16,Google Reviews
366,"El lugar estaba sucio, las mesas no estaban bien limpias.",NEG,2024-10-20,Facebook
367,Hay que mencionar que los meseros usan uniforme con los colores del restaurante.,NEU,2024-03-25,Facebook
368,"Superó nuestras expectativas, muy recomendable. Definitivamente lo recomiendo.",POS,2024-03-26,Facebook
369,El aire acondicionado no funcionaba y hacía mucho calor. Esperaba mucho más.,NEG,2024-05-22,Facebook
370,Los precios son accesibles y las porciones son generosas.,POS,2024-05-22,Facebook
371,El lugar está ubicado en una zona accesible del centro de Zapopan. Sin más comentarios.,NEU,2024-05-20,Google Reviews
372,El menú tiene variedad de opciones tradicionales mexicanas. Sin más comentarios.,NEU,2024-05-21,Google Reviews
373,Mal servicio. La salsa picante estaba aguada y sin sabor.,NEG,2024-12-08,Facebook
374,Pedimos tres veces el mismo plato y nunca llegó. No regresaré.,NEG,2024-12-01,Encuesta Interna
375,"El chile en nogada estaba increíble, muy bien preparado.",POS,2024-02-27,Facebook
376,Hay que mencionar que el restaurante participa en el programa de jalisco gastronómico.,NEU,2024-02-20,Encuesta Interna
377,Las porciones son muy pequeñas para el precio que cobran. Esperaba mucho más.,NEG,2024-12-28,Google Reviews
378,"No había agua en los baños, muy mala higiene.",NEG,2024-10-30,Encuesta Interna
379,Los ingredientes son de temporada según el chef.,NEU,2024-09-08,Encuesta Interna
380,"La cuenta no correspondía con lo que pedimos, nos cobraron de más. No regresaré.",NEG,2024-04-28,Facebook
381,"El lugar estaba sucio, las mesas no estaban bien limpias. Esperaba mucho más.",NEG,2024-07-04,Encuesta Interna
382,"Excelente experiencia. Servicio rápido y amable, sin esperas innecesarias.",POS,2024-10-25,Encuesta Interna
383,"Muy decepcionante. El personal no conoce el menú, tuvo que ir a preguntar varias veces.",NEG,2024-06-29,Encuesta Interna
384,Tienen mesas en el interior y en terraza exterior.,NEU,2024-12-03,Encuesta Interna
385,Los precios son accesibles y las porciones son generosas.,POS,2024-02-17,Encuesta Interna
386,La recepcionista confirma reservaciones por WhatsApp. Es un dato a considerar.,NEU,2024-07-31,Encuesta Interna
387,"Hay que mencionar que la música de fondo era folclórica, acorde con la temática.",NEU,2024-05-09,Facebook
388,El lugar está ubicado en una zona accesible del centro de Zapopan. Sin más comentarios.,NEU,2024-05-27,Encuesta Interna
389,Solo menciono que el tiempo de espera es de 20 a 30 minutos en horas pico.,NEU,2024-06-02,Encuesta Interna
390,La atención fue excepcional desde que llegamos.,POS,2024-05-06,Google Reviews
391,Hay que mencionar que tienen sección de bar con bebidas típicas mexicanas.,NEU,2024-02-25,Encuesta Interna
392,"Visita obligada. Excelente atención del mesero, muy rápido y amable.",POS,2024-02-10,Google Reviews
393,"La carne estaba dura y sin sabor, muy decepcionante. Esperaba mucho más.",NEG,2024-04-18,Facebook
394,La recepcionista confirma reservaciones por WhatsApp. Sin más comentarios.,NEU,2024-12-27,Facebook
395,"Mal servicio. El local huele a humedad, necesita mantenimiento.",NEG,2024-08-28,Facebook
396,"Muy decepcionante. El local huele a humedad, necesita mantenimiento.",NEG,2024-06-05,Facebook
397,"Me encantó la sopa de lima, muy sabrosa. El lugar merece 5 estrellas.",POS,2024-08-14,Facebook
398,Solo menciono que la carta incluye opciones vegetarianas aunque son pocas.,NEU,2024-05-08,Google Reviews
399,Solo menciono que los postres se elaboran en el mismo restaurante.,NEU,2024-07-12,Facebook
400,El aire acondicionado no funcionaba y hacía mucho calor.,NEG,2024-05-06,Google Reviews
